Order,Astronaut,Type,Date,Spacecraft
,Lodewijk van den Berg,Orbital,29 April 1985,51-B
,Taylor Wang,Orbital,29 April 1985,51-B
170,Sultan Al-Saud,Orbital,17 June 1985,51-G
,Patrick Baudry,Orbital,17 June 1985,51-G
,John Creighton,Orbital,17 June 1985,51-G
,Shannon Lucid,Orbital,17 June 1985,51-G
,Steven Nagel,Orbital,17 June 1985,51-G
175,Loren Acton,Orbital,29 July 1985,51-F
,John Bartoe,Orbital,29 July 1985,51-F
,Roy Bridges,Orbital,29 July 1985,51-F
,Anthony England,Orbital,29 July 1985,51-F
,Karl Henize,Orbital,29 July 1985,51-F
180,Richard Covey,Orbital,27 August 1985,51-I
,William Fisher,Orbital,27 August 1985,51-I
,John Lounge,Orbital,27 August 1985,51-I
183,Vladimir Vasyutin,Orbital,17 September 1985,Soyuz T-14
,Aleksandr Volkov,Orbital,17 September 1985,Soyuz T-14
185,Ronald Grabe,Orbital,3 October 1985,51-J
,David Hilmers,Orbital,3 October 1985,51-J
,William Pailes,Orbital,3 October 1985,51-J
188,Bonnie Dunbar,Orbital,30 October 1985,61-A
,Reinhard Furrer,Orbital,30 October 1985,61-A
,Ernst Messerschmid,Orbital,30 October 1985,61-A
,Wubbo Ockels,Orbital,30 October 1985,61-A
192,Mary Cleave,Orbital,27 November 1985,61-B
,Rodolfo Neri Vela,Orbital,27 November 1985,61-B
,Bryan O'Connor,Orbital,27 November 1985,61-B
,Jerry Ross,Orbital,27 November 1985,61-B
,Sherwood Spring,Orbital,27 November 1985,61-B
197,Charles Bolden,Orbital,12 January 1986,61-C
,Robert Cenker,Orbital,12 January 1986,61-C
,Franklin Chang-Diaz,Orbital,12 January 1986,61-C
,Clarens Nelson,Orbital,12 January 1986,61-C
201,Aleksandr Laveykin,Orbital,5 February 1987,Soyuz TM-2
202,Mohammed Faris,Orbital,22 July 1987,Soyuz TM-3
,Aleksandr Viktorenko,Orbital,22 July 1987,Soyuz TM-3
204,Anatoli Levchenko,Orbital,21 December 1987,Soyuz TM-4
,Musa Manarov,Orbital,21 December 1987,Soyuz TM-4
206,Aleksandr Panayotov Aleksandrov,Orbital,7 June 1988,Soyuz TM-5
,Anatoliy Solovyov,Orbital,7 June 1988,Soyuz TM-5
208,Abdul Mohmand,Orbital,29 August 1988,Soyuz TM-6
,Valeri Polyakov,Orbital,29 August 1988,Soyuz TM-6
210,Sergei Krikalyov,Orbital,26 November 1988,Soyuz TM-7
211,Guy Gardner,Orbital,2 December 1988,STS-27
,William Shepherd,Orbital,2 December 1988,STS-27
213,James Bagian,Orbital,13 March 1989,STS-29
,John Blaha,Orbital,13 March 1989,STS-29
,Robert Springer,Orbital,13 March 1989,STS-29
216,Mark Lee,Orbital,4 May 1989,STS-30
217,James Adamson,Orbital,8 August 1989,STS-28
,Mark Brown,Orbital,8 August 1989,STS-28
,Richard Richards,Orbital,8 August 1989,STS-28
220,Ellen Baker,Orbital,18 October 1989,STS-34
,Michael McCulley,Orbital,18 October 1989,STS-34
222,Manly Carter,Orbital,23 November 1989,STS-33
,Kathryn Thornton,Orbital,23 November 1989,STS-33
224,Marsha Ivins,Orbital,9 January 1990,STS-32
,George Low,Orbital,9 January 1990,STS-32
,James Wetherbee,Orbital,9 January 1990,STS-32
227,Aleksandr Balandin,Orbital,11 February 1990,Soyuz TM-9
228,John Casper,Orbital,28 February 1990,STS-36
,Pierre Thuot,Orbital,28 February 1990,STS-36
230,Gennadi Manakov,Orbital,1 August 1990,Soyuz TM-10
231,Thomas Akers,Orbital,6 October 1990,STS-41
,Robert Cabana,Orbital,6 October 1990,STS-41
,Bruce Melnick,Orbital,6 October 1990,STS-41
