payload_id,name,type,reused,manufacturers,mass_kg,mass_lb,orbit,reference_system,regime
5eb0e4cab6c3bb0006eeb233,S5,Satellite,False,['Applied Defense Systems'],60.0,132.28,GTO,geocentric,geostationary
5eb0e4cab6c3bb0006eeb234,Beresheet,Lander,False,['SSL'],585.0,1289.7,GTO,geocentric,highly-elliptical
5eb0e4cbb6c3bb0006eeb235,CCtCap Demo Mission 1,Crew Dragon,False,['SpaceX'],12259.0,27026.47,ISS,geocentric,low-earth
5eb0e4cbb6c3bb0006eeb236,ArabSat 6A,Satellite,False,['Lockheed Martin'],6000.0,13227.74,GTO,geocentric,geostationary
5eb0e4cbb6c3bb0006eeb237,CRS-17,Dragon 1.1,True,['SpaceX'],2482.0,5472.0,ISS,geocentric,low-earth
5eb0e4cbb6c3bb0006eeb238,Starlink v0.9,Satellite,False,['SpaceX'],13620.0,30027.0,VLEO,geocentric,very-low-earth
5eb0e4ccb6c3bb0006eeb239,RADARSAT Constellation,Satellite,False,['Maxar Technologies'],1425.0,3141.59,SSO,geocentric,sun-synchronous
5eb0e4ccb6c3bb0006eeb23a,DSX,Satellite,False,['Sierra Nevada Corporation'],600.0,1322.77,MEO,geocentric,medium-earth
5eb0e4ccb6c3bb0006eeb23b,COSMIC-2,Satellite,False,['National Space Organization'],1668.0,3677.3,LEO,geocentric,low-earth
5eb0e4ccb6c3bb0006eeb23c,GPIM,Satellite,False,['Ball Aerospace & Technologies Corp'],180.0,396.0,LEO,geocentric,low-earth
5eb0e4ccb6c3bb0006eeb23d,Oculus-ASR,Satellite,False,['Michigan Tech'],70.0,154.0,LEO,geocentric,low-earth
5eb0e4ccb6c3bb0006eeb23e,OTB 1,Satellite,False,['Surrey Satellite Technology-US LLC'],138.0,304.0,LEO,geocentric,low-earth
5eb0e4cdb6c3bb0006eeb23f,NPSAT 1,Satellite,False,['Naval Postgrad School'],86.0,189.0,LEO,geocentric,low-earth
5eb0e4cdb6c3bb0006eeb240,Prox-1,Satellite,False,['Georgia Tech'],71.0,156.0,LEO,geocentric,low-earth
5eb0e4cdb6c3bb0006eeb241,LightSail-B,Satellite,False,['Planetary Society'],5.0,11.0,LEO,geocentric,low-earth
5eb0e4cdb6c3bb0006eeb242,ARMADILLO,Satellite,False,['University of Texas'],4.0,8.8,LEO,geocentric,low-earth
5eb0e4cdb6c3bb0006eeb243,FalconSat 7,Satellite,False,['USAF Academy'],5.0,11.0,LEO,geocentric,low-earth
5eb0e4cdb6c3bb0006eeb244,E-TBEx A & B,Satellite,False,['SRI International'],4.0,8.8,LEO,geocentric,low-earth
5eb0e4cdb6c3bb0006eeb245,PSat 2,Satellite,False,['US Naval Academy'],2.0,4.4,LEO,geocentric,low-earth
5eb0e4ceb6c3bb0006eeb246,BRICSat 2,Satellite,False,['US Naval Academy'],1.0,2.2,LEO,geocentric,low-earth
5eb0e4ceb6c3bb0006eeb247,TEPCE 1 & 2,Satellite,False,['Naval Research Lab'],1.5,3.3,LEO,geocentric,low-earth
5eb0e4ceb6c3bb0006eeb248,CP9,Satellite,False,['Cal Poly'],1.5,3.3,LEO,geocentric,low-earth
5eb0e4ceb6c3bb0006eeb249,StangSat,Satellite,False,['Merrit Island HS'],1.0,2.2,LEO,geocentric,low-earth
5eb0e4ceb6c3bb0006eeb24a,CRS-18,Dragon 1.1,True,['SpaceX'],2227.7,4911.2,ISS,geocentric,low-earth
5eb0e4cfb6c3bb0006eeb24b,Amos-17,Satellite,False,['Boeing Satellite Systems'],6500.0,14330.05,GTO,geocentric,geostationary
5eb0e4cfb6c3bb0006eeb24c,Starlink 1,Satellite,False,['SpaceX'],15600.0,34392.1,VLEO,geocentric,very-low-earth
5eb0e4cfb6c3bb0006eeb24d,CRS-19,Dragon 1.1,True,['SpaceX'],5000.0,11023.0,ISS,geocentric,low-earth
5eb0e4cfb6c3bb0006eeb24e,JCSat 18 / Kacific 1,Satellite,False,['Boeing Satellite Systems'],6800.0,14991.43,GTO,geocentric,geostationary
5eb0e4cfb6c3bb0006eeb24f,Starlink 2,Satellite,False,['SpaceX'],15400.0,33951.2,VLEO,geocentric,very-low-earth
5eb0e4d0b6c3bb0006eeb250,Crew Dragon In Flight Abort Test,Crew Dragon,False,['SpaceX'],,,SO,geocentric,sub-orbital
5eb0e4d0b6c3bb0006eeb251,Starlink 3,Satellite,False,['SpaceX'],15600.0,34392.113,VLEO,geocentric,very-low-earth
