launch_id,name,date,rocket_id,launchpad_id,success,failures,ships,capsules,payloads,cores,fairings_reused,fairings_recovery_attempts,fairings_recovered
5eb87d20ffd86e000604b36c,Merah Putih,2018-08-07T05:18:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],"['5ea6ed2f080df4000697c90d', '5ea6ed30080df4000697c913']",[],['5eb0e4c9b6c3bb0006eeb22a'],"[{'core': '5e9e28a5f359182b023b2656', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",False,False,False
5eb87d22ffd86e000604b36d,Telstar 18V,2018-09-10T04:45:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],"['5ea6ed30080df4000697c913', '5ea6ed2f080df4000697c90d', '5ea6ed2f080df4000697c90b']",[],['5eb0e4c9b6c3bb0006eeb22b'],"[{'core': '5e9e28a5f3591833b13b2659', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",False,False,False
5eb87d23ffd86e000604b36e,SAOCOM 1A,2018-10-08T02:22:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,True,[],[],[],['5eb0e4c9b6c3bb0006eeb22c'],"[{'core': '5e9e28a5f3591809c03b2658', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb554034e7c9'}]",False,False,False
5eb87d24ffd86e000604b36f,Es'hail 2,2018-11-15T20:46:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,True,[],"['5ea6ed2f080df4000697c90d', '5ea6ed30080df4000697c913']",[],['5eb0e4c9b6c3bb0006eeb22d'],"[{'core': '5e9e28a5f359181eed3b2657', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",False,False,False
5eb87d25ffd86e000604b370,SSO-A,2018-12-03T18:34:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,True,[],"['5ea6ed2f080df4000697c910', '5ea6ed30080df4000697c912', '5ea6ed30080df4000697c914', '5ea6ed2e080df4000697c908']",[],['5eb0e4c9b6c3bb0006eeb22e'],"[{'core': '5e9e28a5f359182b023b2656', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}]",False,True,False
5eb87d26ffd86e000604b371,CRS-16,2018-12-05T18:16:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],['5ea6ed2f080df4000697c90b'],['5e9e2c5cf359185d753b266f'],['5eb0e4cab6c3bb0006eeb22f'],"[{'core': '5e9e28a6f359185c603b265a', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}]",None,None,None
5eb87d27ffd86e000604b372,GPS III SV01,2018-12-23T13:51:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],[],[],['5eb0e4cab6c3bb0006eeb230'],"[{'core': '5e9e28a6f35918513b3b265b', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",False,False,False
5eb87d28ffd86e000604b373,Iridium NEXT Mission 8,2019-01-11T15:31:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,True,[],"['5ea6ed2f080df4000697c910', '5ea6ed30080df4000697c912', '5ea6ed30080df4000697c914']",[],['5eb0e4cab6c3bb0006eeb231'],"[{'core': '5e9e28a5f3591833b13b2659', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}]",False,False,
5eb87d2affd86e000604b374,Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22T01:45:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],['5ea6ed30080df4000697c913'],[],"['5eb0e4cab6c3bb0006eeb232', '5eb0e4cab6c3bb0006eeb233', '5eb0e4cab6c3bb0006eeb234']","[{'core': '5e9e28a5f3591809c03b2658', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",False,False,False
5eb87d2bffd86e000604b375,CCtCap Demo Mission 1,2019-03-02T07:45:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,True,[],['5ea6ed30080df4000697c913'],['5e9e2c5df35918b1063b2671'],['5eb0e4cbb6c3bb0006eeb235'],"[{'core': '5e9e28a6f35918c0803b265c', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",,,
