Date,Open,High,Low,Close,Adj Close,Volume
2002-06-25,69.120003,69.300003,66.410004,67.849998,41.548306,5869400
2002-06-26,67.110001,68.599998,66.260002,68.500000,41.946320,3084200
2002-06-27,68.879997,71.519997,68.599998,71.430000,43.740513,4159000
2002-06-28,71.000000,71.500000,69.500000,69.500000,42.558674,3805100
2002-07-01,69.500000,69.959999,68.500000,68.550003,41.976967,2880500
2002-07-02,68.349998,68.790001,67.330002,67.750000,41.487061,3548900
2002-07-03,67.550003,69.400002,67.199997,69.260002,42.411713,2363000
2002-07-05,69.260002,69.750000,68.510002,68.699997,42.068794,1222300
2002-07-08,68.500000,69.699997,68.180000,68.500000,41.946320,1787000
2002-07-09,68.250000,69.449997,68.250000,68.989998,42.246361,2595200
2002-07-10,69.500000,69.500000,65.000000,66.440002,40.684879,3634200
2002-07-11,65.150002,66.000000,62.500000,66.000000,40.415440,5109400
2002-07-12,65.000000,65.000000,60.000000,62.189999,38.082359,6649700
2002-07-15,60.500000,60.509998,55.450001,58.549999,35.853390,8285100
2002-07-16,57.520000,59.669998,57.509998,58.000000,35.516602,5797200
2002-07-17,60.500000,62.200001,58.200001,60.000000,36.741306,6737500
2002-07-18,59.900002,61.869999,59.299999,60.599998,37.108723,5197000
2002-07-19,60.450001,60.459999,55.380001,56.099998,34.353115,5817100
2002-07-22,56.099998,56.799999,52.299999,53.950001,33.036564,5830700
2002-07-23,53.799999,54.900002,52.810001,54.099998,33.128422,4204700
2002-07-24,53.299999,58.730000,52.330002,58.000000,35.516602,5048200
2002-07-25,58.189999,60.500000,57.759998,60.400002,36.986252,4975300
2002-07-26,60.400002,60.400002,58.060001,60.119999,36.814777,3020400
2002-07-29,60.349998,62.799999,60.349998,62.799999,38.455894,3142300
2002-07-30,62.750000,63.650002,61.799999,63.169998,38.682476,2232100
2002-07-31,63.000000,64.209999,61.959999,64.110001,39.258083,2302700
2002-08-01,63.849998,64.449997,63.250000,63.369999,38.804955,2144900
2002-08-02,63.200001,63.950001,60.950001,61.779999,37.831299,2450400
2002-08-05,61.150002,61.950001,59.080002,59.549999,36.465755,2988900
2002-08-06,60.900002,64.000000,60.820000,62.799999,38.455894,3195200
2002-08-07,63.400002,64.750000,61.799999,64.709999,39.625507,2325300
2002-08-08,65.000000,66.669998,64.589996,66.349998,40.629768,3353000
2002-08-09,65.379997,66.760002,65.129997,65.599998,40.170506,2002500
2002-08-12,65.349998,66.139999,64.110001,65.440002,40.072521,1452700
2002-08-13,65.300003,65.349998,62.990002,63.180000,38.688599,2836900
2002-08-14,63.180000,63.849998,62.320000,63.750000,39.037643,2810900
2002-08-15,63.950001,64.680000,62.900002,64.000000,39.190739,2864800
2002-08-16,64.000000,66.019997,63.400002,65.419998,40.060272,2448900
2002-08-19,65.000000,65.900002,63.599998,64.040001,39.215225,2590800
2002-08-20,64.040001,64.040001,63.250000,63.540001,38.909042,1518400
2002-08-21,63.790001,64.980003,63.200001,63.450001,38.853943,1610600
2002-08-22,63.599998,63.950001,61.700001,62.160000,38.063995,2650600
2002-08-23,61.250000,61.740002,59.500000,59.709999,36.563721,3473500
2002-08-26,60.049999,61.400002,59.500000,60.950001,37.323044,2334100
2002-08-27,62.599998,62.849998,62.000000,62.220001,38.100723,2140500
2002-08-28,62.209999,62.599998,61.209999,61.990002,37.959892,2590300
2002-08-29,60.650002,63.009998,60.509998,62.500000,38.340233,1850900
2002-08-30,62.340000,64.239998,61.950001,63.320000,38.843254,2075800
2002-09-03,62.900002,63.869999,62.000000,62.380001,38.266624,2840300
2002-09-04,62.750000,64.099998,62.400002,64.019997,39.272644,2464300
2002-09-05,62.950001,65.199997,62.799999,63.849998,39.168385,2168600
2002-09-06,64.849998,65.489998,64.489998,64.669998,39.671406,1513300
2002-09-09,64.599998,66.989998,64.199997,66.519997,40.806286,3198000
2002-09-10,67.000000,67.099998,65.400002,65.750000,40.333927,2587200
2002-09-11,65.449997,65.949997,65.250000,65.250000,40.027203,1370500
2002-09-12,65.300003,66.730003,65.290001,65.980003,40.475021,2434500
2002-09-13,65.680000,66.599998,65.309998,65.730003,40.321655,1535700
2002-09-16,65.599998,67.220001,65.599998,65.750000,40.333927,2032800
2002-09-17,64.000000,65.190002,63.139999,64.019997,39.272644,3990100
2002-09-18,64.019997,66.099998,63.520000,65.190002,39.990398,2737200
2002-09-19,64.610001,65.550003,64.250000,64.430000,39.524170,1765600
2002-09-20,65.099998,66.199997,64.599998,65.230003,40.014946,3426500
2002-09-23,64.980003,66.300003,64.970001,65.699997,40.303238,2157800
2002-09-24,65.849998,66.489998,65.400002,65.699997,40.303238,3119400
2002-09-25,66.050003,66.389999,63.450001,63.900002,39.199051,4036300
2002-09-26,64.400002,65.500000,63.740002,65.500000,40.180565,2808000
2002-09-27,65.599998,66.040001,64.809998,65.550003,40.211231,2289600
2002-09-30,64.970001,65.599998,64.000000,64.669998,39.671406,2521000
2002-10-01,64.900002,65.550003,64.019997,64.800003,39.751144,2295300
2002-10-02,64.699997,65.000000,63.189999,63.189999,38.763515,2600100
2002-10-03,63.419998,64.080002,60.849998,61.810001,37.916950,3821200
2002-10-04,61.810001,62.240002,60.500000,61.000000,37.420078,2589400
2002-10-07,61.099998,62.980000,61.099998,61.439999,37.689999,2358000
2002-10-08,61.459999,61.689999,56.639999,58.099998,35.641068,5232900
2002-10-09,57.849998,59.680000,56.750000,58.009998,35.585873,3976400
2002-10-10,58.990002,61.410000,58.000000,60.880001,37.346458,2265600
2002-10-11,63.049999,63.209999,61.529999,62.450001,38.309559,2723500
2002-10-14,62.450001,62.740002,59.330002,60.099998,36.867962,2907500
2002-10-15,60.349998,61.959999,58.000000,58.930000,36.150234,4946300
2002-10-16,58.930000,60.150002,58.700001,59.500000,36.499905,2395600
2002-10-17,61.150002,61.200001,55.250000,58.299999,35.763767,5898800
2002-10-18,56.950001,59.930000,56.950001,59.380001,36.426289,3105500
2002-10-21,58.700001,59.549999,58.349998,59.150002,36.285191,2799200
2002-10-22,58.070000,59.049999,57.900002,58.500000,35.886452,1839500
2002-10-23,58.599998,60.290001,58.389999,60.290001,36.984531,2261200
2002-10-24,60.250000,60.599998,58.759998,59.099998,36.254539,3172900
